mode,p_u,p_p,runs,success_rate,safe_fail_rate,catastrophic_fail_rate,trip_rate,upstream_issue_rate,recoverable_issue_rate,risky_issue_rate,utility,catastrophe_cost,fallback_degradation_mode,fallback_degradation_alpha,base_p_f
no_cb,0.2,0.1,10000,0.9502,0.03,0.0198,0.0,0.2053,0.1855,0.0198,0.8512000000000001,5.0,linear_subtractive,0.3,0.7
ai_cb,0.2,0.1,10000,0.9589,0.0376,0.0035,0.0418,0.1957,0.1759,0.0198,0.9414,5.0,linear_subtractive,0.3,0.7
adaptive_cb,0.2,0.1,10000,0.9571,0.0399,0.003,0.0489,0.2018,0.1802,0.0216,0.9420999999999999,5.0,linear_subtractive,0.3,0.7
no_cb,0.2,0.3,10000,0.9165,0.0212,0.0623,0.0,0.2009,0.1386,0.0623,0.605,5.0,linear_subtractive,0.3,0.7
ai_cb,0.2,0.3,10000,0.9425,0.0466,0.0109,0.0766,0.2042,0.1389,0.0653,0.888,5.0,linear_subtractive,0.3,0.7
adaptive_cb,0.2,0.3,10000,0.9416,0.0542,0.0042,0.0886,0.1984,0.1407,0.0577,0.9206,5.0,linear_subtractive,0.3,0.7
no_cb,0.2,0.5,10000,0.8824,0.0165,0.1011,0.0,0.2011,0.1,0.1011,0.3769,5.0,linear_subtractive,0.3,0.7
ai_cb,0.2,0.5,10000,0.9232,0.0607,0.0161,0.1001,0.2009,0.1019,0.099,0.8427,5.0,linear_subtractive,0.3,0.7
adaptive_cb,0.2,0.5,10000,0.9296,0.0669,0.0035,0.1315,0.2,0.1051,0.0949,0.9121,5.0,linear_subtractive,0.3,0.7
no_cb,0.2,0.7,10000,0.8472,0.0097,0.1431,0.0,0.2059,0.0628,0.1431,0.13169999999999993,5.0,linear_subtractive,0.3,0.7
ai_cb,0.2,0.7,10000,0.906,0.0729,0.0211,0.1218,0.1928,0.0607,0.1321,0.8005,5.0,linear_subtractive,0.3,0.7
adaptive_cb,0.2,0.7,10000,0.9068,0.0908,0.0024,0.1691,0.1974,0.0591,0.1383,0.8948,5.0,linear_subtractive,0.3,0.7
no_cb,0.2,0.9,10000,0.8178,0.0026,0.1796,0.0,0.2011,0.0215,0.1796,-0.08020000000000005,5.0,linear_subtractive,0.3,0.7
ai_cb,0.2,0.9,10000,0.8838,0.0917,0.0245,0.1532,0.1956,0.0208,0.1748,0.7613000000000001,5.0,linear_subtractive,0.3,0.7
adaptive_cb,0.2,0.9,10000,0.884,0.1142,0.0018,0.1976,0.2034,0.0221,0.1813,0.875,5.0,linear_subtractive,0.3,0.7
